timestamp,start_time_ns,end_time_ns,duration_ns,duration_ms,service_name,trace_id,span_id,parent_span_id,span_name,span_kind,http_method,http_status_code,http_target,http_url,anomaly_type,anomaly_label,anomaly_root_cause,anomaly_msg,span_status,span_status_message,net_peer_name,net_peer_port,datacenter
2026-01-12T08:56:46.625000,1768226206625000000,1768226206630754339,5754339,5.754339,catalogue,6bd25b9aca5b8bed41cfebc002110f13,f1ea7c8f571ecf26,,GET /products,2,GET,200,/products,http://catalogue:8080/products,error_propagation,anomalous,upstream_service_error,error propagating through call chain,0,,,33272,
2026-01-12T08:56:48.770000,1768226208770000000,1768226208774278086,4278086,4.278086,catalogue,313f5708d4c45174c8aa165aed9fa5e3,eacaf9705fcdf714,,GET /product/:sku,2,GET,200,/product/EMM,http://catalogue:8080/product/EMM,error_propagation,anomalous,upstream_service_error,error propagating through call chain,0,,,33396,
2026-01-12T08:57:39.971000,1768226259971000000,1768226259977806286,6806286,6.806286,catalogue,fbb25233fcb8323fd7469fa03a4f4a23,fa9ce55418ad197f,,GET /products,2,GET,200,/products,http://catalogue:8080/products,error_propagation,anomalous,upstream_service_error,error propagating through call chain,0,,,47416,
2026-01-12T08:57:40.723000,1768226260723000000,1768226260740918100,17918100,17.9181,cart,0adcb487e4505bedefc646024112b295,5173261318119d87,,GET /add/:id/:sku/:qty,2,GET,200,/add/394/RMC/1,http://cart:8080/add/394/RMC/1,error_propagation,anomalous,upstream_service_error,error propagating through call chain,0,,,43706,
2026-01-12T08:57:42.154000,1768226262154000000,1768226262157501500,3501500,3.5015,cart,5899c753d62d9b2935b261766458570f,eb22ce841a74b08c,,GET /cart/:id,2,GET,200,/cart/394,http://cart:8080/cart/394,error_propagation,anomalous,upstream_service_error,error propagating through call chain,0,,,43772,
2026-01-12T08:57:48.315000,1768226268315000000,1768226268331404075,16404075,16.404075,cart,8d650853c43e0e2a6f39a84c8c28ce4e,f8a246f85c60d369,,GET /add/:id/:sku/:qty,2,GET,200,/add/9749/UHJ/1,http://cart:8080/add/9749/UHJ/1,error_propagation,anomalous,upstream_service_error,error propagating through call chain,0,,,55380,
2026-01-12T08:57:49.604000,1768226269604000000,1768226269607096090,3096090,3.09609,cart,eafa1554dec575fcecac81b1bc9ad11d,8af17066ca027716,,GET /cart/:id,2,GET,200,/cart/9749,http://cart:8080/cart/9749,error_propagation,anomalous,upstream_service_error,error propagating through call chain,0,,,55398,
2026-01-12T08:57:51.078000,1768226271078000000,1768226271158913821,80913821,80.913821,cart,2383ce9c7d7f708407807b4fb652b7fd,712af3431caa32e8,,GET /add/:id/:sku/:qty,2,GET,200,/add/9664/HPTD/1,http://cart:8080/add/9664/HPTD/1,error_propagation,anomalous,upstream_service_error,error propagating through call chain,0,,,55416,
2026-01-12T08:57:47.681000,1768226267681000000,1768226267684817953,3817953,3.817953,catalogue,9737d8735b66ac123c96ede1e2e8930a,6bd02f86c5149f5f,,GET /products,2,GET,200,/products,http://catalogue:8080/products,error_propagation,anomalous,upstream_service_error,error propagating through call chain,0,,,50934,
2026-01-12T08:57:50.443000,1768226270443000000,1768226270445966261,2966261,2.966261,catalogue,02d22f4d29cc612fde4b5bea752fd905,188b99f0bcfd2e66,,GET /products,2,GET,200,/products,http://catalogue:8080/products,error_propagation,anomalous,upstream_service_error,error propagating through call chain,0,,,50942,
